Sport,Discipline,Athlete,Country,Gender,Event
Aquatics,Diving,"BOUDIA, David",USA,Men,10M Platform
Aquatics,Diving,"CHEN, Ruolin",CHN,Women,10M Platform
Aquatics,Diving,"ZAKHAROV, Ilya",RUS,Men,3M Springboard
Aquatics,Diving,"WU, Minxia",CHN,Women,3M Springboard
Aquatics,Diving,"CAO, Yuan",CHN,Men,Synchronized 10M
Aquatics,Diving,"ZHANG, Yanquan",CHN,Men,Synchronized 10M
Aquatics,Diving,"CHEN, Ruolin",CHN,Women,Synchronized 10M
Aquatics,Diving,"WANG, Hao",CHN,Women,Synchronized 10M
Aquatics,Diving,"LUO, Yutong",CHN,Men,Synchronized 3M
Aquatics,Diving,"QIN, Kai",CHN,Men,Synchronized 3M
Aquatics,Diving,"HE, Zi",CHN,Women,Synchronized 3M
Aquatics,Diving,"WU, Minxia",CHN,Women,Synchronized 3M
Aquatics,Marathon swimming,"MELLOULI, Oussama",TUN,Men,10KM
Aquatics,Marathon swimming,"RISZTOV, Eva",HUN,Women,10KM
Aquatics,Swimming,"GREVERS, Matthew",USA,Men,100M Backstroke
Aquatics,Swimming,"FRANKLIN, Missy",USA,Women,100M Backstroke
Aquatics,Swimming,"VAN DER BURGH, Cameron",RSA,Men,100M Breaststroke
Aquatics,Swimming,"MEILUTYTE, Ruta",LTU,Women,100M Breaststroke
Aquatics,Swimming,"PHELPS, Michael",USA,Men,100M Butterfly
Aquatics,Swimming,"VOLLMER, Dana",USA,Women,100M Butterfly
Aquatics,Swimming,"ADRIAN, Nathan",USA,Men,100M Freestyle
Aquatics,Swimming,"KROMOWIDJOJO, Ranomi",NED,Women,100M Freestyle
Aquatics,Swimming,"SUN, Yang",CHN,Men,1500M Freestyle
Aquatics,Swimming,"CLARY, Tyler",USA,Men,200M Backstroke
Aquatics,Swimming,"FRANKLIN, Missy",USA,Women,200M Backstroke
Aquatics,Swimming,"GYURTA, Daniel",HUN,Men,200M Breaststroke
Aquatics,Swimming,"SONI, Rebecca",USA,Women,200M Breaststroke
Aquatics,Swimming,"LE CLOS, Chad",RSA,Men,200M Butterfly
Aquatics,Swimming,"JIAO, Liuyang",CHN,Women,200M Butterfly
Aquatics,Swimming,"AGNEL, Yannick",FRA,Men,200M Freestyle
